country,year,co2_per_capita_tco2e_excl_lulucf,co2_total_mtco2e_excl_lulucf,energy_use_kg_oe_per_capita,gdp_current_usd,population_total,renewable_electricity_pct,renewable_energy_consumption_pct,urban_pop_pct,missing_indicator_count
BRN,1990,16.8434576876675,4.3,6766.20265813163,6039881086.68157,255292.0,0.0,0.7,66.438,0
BRN,1991,18.6960197413517,4.9095,7438.26203761683,6284497300.38401,262596.0,0.0,0.4,66.585,0
BRN,1992,19.8685141880899,5.3613,7783.23273590893,6327966444.87488,269839.0,0.0,0.2,67.078,0
BRN,1993,19.5356192525571,5.4108,7299.53266292428,6203339925.05349,276971.0,0.0,0.0,67.604,0
BRN,1994,19.3381698117857,5.4938,6603.06657909867,6467782521.31603,284091.0,0.0,0.0,68.126,0
BRN,1995,19.964628513539,5.8136,7718.4147112912,7700144056.74744,291195.0,0.0,0.0,68.644,0
BRN,1996,20.4756668320616,6.1074,7585.30865702678,7663377277.00351,298276.0,0.0,0.0,69.158,0
BRN,1997,21.2909501180647,6.501,7652.68069432589,7793034389.75098,305341.0,0.0,0.0,69.666,0
BRN,1998,18.3843654464843,5.743,7448.31277617827,5550846024.98159,312385.0,0.0,0.0,70.17,0
BRN,1999,18.8102476120109,6.0082,7427.44777738284,6309070374.83966,319411.0,0.0,0.0,70.669,0
BRN,2000,18.6095385143249,6.0746,7306.50805505588,6570999059.70575,326424.0,0.0,0.0,71.164,0
BRN,2001,17.5841845535406,5.8616,6624.44570244008,6096155747.56182,333345.0,0.0,0.0,71.652,0
BRN,2002,16.3420062981661,5.5579,6344.70953602184,6333082878.97992,340099.0,0.0,0.0,72.046,0
BRN,2003,18.6148622334027,6.4526,7227.93461469148,7167725264.75135,346637.0,0.0,0.0,72.421,0
BRN,2004,17.7631187466528,6.2688,6509.41375687627,8619178799.47025,352911.0,0.0,0.0,72.794,0
BRN,2005,16.7418003098218,6.0089,6180.90186134327,10547202612.4295,358916.0,0.0,0.0,73.163,0
BRN,2006,23.6253746609884,8.6153,8644.25613377398,12644616446.1918,364663.0,0.0,0.0,73.529,0
BRN,2007,22.0673923418529,8.1842,8703.6654696927,13432029495.6785,370873.0,0.0,0.0,73.892,0
BRN,2008,23.5779911221224,8.9076,9379.39547102847,15926456491.5178,377793.0,0.0,0.0,74.252,0
BRN,2009,20.8358444689208,8.0208,7906.16450304433,11912904529.0722,384952.0,0.0,0.0,74.608,0
BRN,2010,18.8088149832285,7.3793,8261.092768512,13707121031.2552,392332.0,0.0213607594936709,0.0,74.961,0
BRN,2011,19.6828155006773,7.8611,9699.3002516897,18524791070.6802,399389.0,0.043489932885906,0.0,75.31,0
BRN,2012,18.7946453889342,7.6223,9446.07290658886,19048443339.9457,405557.0,0.0424936386768448,0.0,75.656,0
BRN,2013,18.9420284920793,7.789,7399.88850699904,18094148099.4922,411202.0,0.038391640163562,0.0,75.997,0
BRN,2014,19.451949610078,8.1066,8529.79303823974,17097797371.9718,416750.0,0.0359520639147803,0.0,76.332,0
BRN,2015,17.4440802251002,7.3651,6437.00247398227,12930296852.4882,422212.0,0.0311904761904762,0.0,76.663,0
BRN,2016,18.4748949864816,7.8992,7008.28171997556,11400266055.3232,427564.0,0.0255269320843091,0.0,76.99,0
BRN,2017,18.1883301137782,7.8714,8385.25858976533,12128168046.7827,432772.0,0.0377676208804426,0.0,77.312,0
BRN,2018,18.3415180100957,8.0301,8304.04242825767,13566908401.1864,437810.0,0.037037037037037,0.0,77.629,0
BRN,2019,17.175612180356,7.6033,9219.80339333238,13469235348.2211,442680.0,0.0218978102189781,0.0,77.942,0
BRN,2020,22.1359218960939,9.9037,9175.89257228992,12005799664.2691,447404.0,0.0193548387096774,0.0,78.25,0
BRN,2021,21.5757071289579,9.7462,8962.62325631033,14006496614.3195,451721.0,0.0196525706264257,0.0,78.554,0
BRN,2022,20.7490612029778,9.4485,9537.0515607056,16681536442.5498,455370.0,0.0196525706264257,0.0,78.854,0
BRN,2023,21.1703261146663,9.7161,9537.0515607056,15095084686.1651,458949.0,0.0196525706264257,0.0,79.149,0
BRN,2024,21.1703261146663,9.7161,9537.0515607056,15463134387.2013,462721.0,0.0196525706264257,0.0,79.439,0
IDN,1990,0.881619792814537,161.7782,461.47874965682,106140727333.636,183501098.0,20.9171334986378,59.2,30.584,0
IDN,1991,0.935142133635504,174.6642,477.034665447769,116621996217.133,186778238.0,20.5570433851098,58.4,31.613,0
IDN,1992,0.960601996980232,182.5564,489.759547327284,128026966579.964,190043744.0,23.8383157083323,57.5,32.703,0
IDN,1993,1.03387458321859,199.8533,534.334769070592,158006700301.533,193305168.0,19.7753303964758,56.1,33.808,0
